Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
L-(-)-Asparagine,C4 H8 N2 O3,96020.73095,5098855.778,6849033.845,15429599.43,14892760.5,9784865.954,4899408.961,178153.7347,1088044.843,12549877.79,11065185.38,586160.7196,169200.807,224287.1258,5973944.811,7342137.457,11807531.58,15161179.96,633099.2886,586160.7196,169200.807,224287.1258,53.959,66.316,106.649,136.941,5.718,5.294,1.528,2.026
,C4 H8 N P S,13187.26816,74134.17837,70537.74967,100417.6686,143752.0718,68688.51797,116288.1742,14675689.17,23017472.73,61601.07157,64276.80113,192162767.5,87060.41418,57219.57841,72335.96402,92488.34607,62938.93635,122084.8702,18846580.95,192162767.5,87060.41418,57219.57841,5.837,7.463,5.078,9.851,1520.676,15505.057,7.025,4.617
Aspartic Acid,C4 H7 N O4,308371.0887,142263035.7,151557332.6,959335210.3,1103126040,412496646.2,334347610.3,132046728.3,208580975.7,490220194.1,500076120.7,1883625.464,304278019,85732292.53,146910184.2,373422128.3,495148157.4,1031230625,170313852,1883625.464,304278019,85732292.53,866.796,2203.256,2921.461,6084.442,1004.882,11.114,1795.294,505.836
Aspartic Acid,C4 H7 N O4,218310.6156,39941493.13,35165573.26,106005484.6,81349160.05,12465000.07,75663709.22,218234795.9,100890208.4,8872874.471,40564798.36,1923638669,50454124.08,35072227.2,37553533.19,44064354.65,24718836.42,93677322.3,159562502.2,1923638669,50454124.08,35072227.2,179.754,210.919,118.32,448.397,763.764,9207.717,241.504,167.877
"2,2'-Iminodipropan-1-ol",C6 H15 N O2,631091.3126,11303324.52,17282469.94,469395.2779,319350.8529,244447.2128,109042.9241,163732.6161,133394.0396,129828.4858,204633.3617,135994.5335,128749.0573,140136.7303,14292897.23,176745.0684,167230.9237,394373.0654,148563.3278,135994.5335,128749.0573,140136.7303,89.076,1.102,1.042,2.458,0.926,0.848,0.802,0.873
Tris(cyano-kappaC)iron,C3 Fe N3,10166.47052,119263.8936,118291.7956,5179621.38,12850602.61,625223.2564,1463894.902,11448540.58,7910931.64,1936809.081,1192960.24,219119.7547,9014050.818,18149456.81,118777.8446,1044559.079,1564884.66,9015111.997,9679736.111,219119.7547,9014050.818,18149456.81,13.29,116.874,175.092,1008.684,1083.047,24.517,1008.565,2030.709
Malic Acid,C4 H6 O5,414327.0915,166184243.4,144036208.8,823425559,582555299.3,239760238.4,282574715.5,44235600.3,308416552.1,205583294.8,132490156.7,12634751972,3944749524,685718576,155110226.1,261167476.9,169036725.7,702990429.2,176326076.2,12634751972,3944749524,685718576,647.129,1089.606,705.231,2932.916,735.642,52712.906,16457.72,2860.857
"1,4-Anhydropentitol",C5 H10 O4,224330.8501,165896936.1,123592493.3,56480874.4,114204324.6,152050194.3,169847135.1,44713109.01,32793443.66,72651472.94,112051918.9,41390499.83,173942776.1,108572366.6,144744714.7,160948664.7,92351695.92,85342599.5,38753276.34,41390499.83,173942776.1,108572366.6,787.399,875.547,502.385,464.256,210.814,225.161,946.234,590.624
"2,2-Bis(hydroxymethyl)propionic acid",C5 H10 O4,47774.41472,4402499.818,17344347.03,3163102.171,25652418.28,4089438.365,34236802.96,79530456.05,65393081.45,2415394.263,2902741.935,69645789.23,2598947.779,4865060.64,10873423.42,19163120.66,2659068.099,14407760.23,72461768.75,69645789.23,2598947.779,4865060.64,38.848,68.466,9.5,51.476,258.89,248.829,9.285,17.382
"4,5-Dideoxypentonic acid",C5 H10 O4,45658.11,86257712.55,106929668.1,86817527.86,59506589.77,82551788.95,61473609.52,3361561.541,507175.5739,103439336.6,74728280.6,694966.0973,507012.5482,550758.2421,96593690.32,72012699.24,89083808.57,73162058.81,1934368.558,694966.0973,507012.5482,550758.2421,2458.442,1832.822,2267.305,1862.075,49.232,17.688,12.904,14.018
Adenine,C5 H5 N5,7229512.396,371636697.4,481107210.9,208984345.1,119175920,337129435.5,281590119.4,974112.3823,1972986.9,159489068.5,184217758.9,10485056.96,771556.1427,309828.7449,426371954.1,309359777.5,171853413.7,164080132.6,1473549.641,10485056.96,771556.1427,309828.7449,63.77,46.269,25.703,24.541,0.22,1.568,0.115,0.046
Adenine,C5 H5 N5,5892382.933,501514269.8,637504885,344000769.5,313274151.9,446998438.5,570686407.5,21133185.07,196788799.7,367280876.6,353977433.1,11686471.09,1304184.561,506997.5767,569509577.4,508842423,360629154.9,328637460.7,108960992.4,11686471.09,1304184.561,506997.5767,194.065,173.392,122.887,111.986,37.129,3.982,0.444,0.173
Purinol,C5 H4 N4 O,122800.9031,224843934.6,216441093.2,181204889.7,165026264.9,246894268.2,234096371.6,35015803.46,29413972.59,169049454.6,150834677,1301750.108,804498.1421,280014.7896,220642513.9,240495319.9,159942065.8,173115577.3,32214888.03,1301750.108,804498.1421,280014.7896,1646.884,1795.066,1193.813,1292.141,240.453,9.716,6.005,2.09
Trigonelline,C7 H7 N O2,21417.03646,32262191.12,32393208.41,33611315.83,29310673.54,32075698.59,27938941.74,11402837.19,13284728.28,29500066.07,26161469.62,96398.90015,156229.2338,408388.4131,32327699.77,30007320.17,27830767.84,31460994.69,12343782.73,96398.90015,156229.2338,408388.4131,233.909,217.12,201.371,227.638,89.314,0.698,1.13,2.955
2-Aminonicotinic acid,C6 H6 N2 O2,150978.1283,3995972.99,5821523.817,15118580.42,22273642.79,9733627.655,10060237.62,2346207.219,266398.2031,17754355.44,23258876.32,669540.3023,5185745.959,9853004.018,4908748.403,9896932.637,20506615.88,18696111.61,1306302.711,669540.3023,5185745.959,9853004.018,82.397,166.127,344.218,313.827,21.927,11.239,87.046,165.39
pentetrazol,C6 H10 N4,12088.14995,12295566.14,15263691.63,214835.7512,200290.2861,446072.6054,518694.6718,221486.1295,218725.8227,713164.4485,442287.5913,177281.9018,209109.064,213625.1032,13779628.89,482383.6386,577726.0199,207563.0186,220105.9761,177281.9018,209109.064,213625.1032,619.081,21.672,25.956,9.325,9.889,7.965,9.395,9.598
histidinol,C6 H11 N3 O,18836.79046,38404660.59,19816064.22,4945455.049,1114784.747,15199615.97,9266817.143,9850059.363,60623937.25,8405274.056,24908068.65,44435.18839,115425.2555,94357.72002,29110362.4,12233216.55,16656671.35,3030119.898,35236998.3,44435.18839,115425.2555,94357.72002,289.226,121.543,165.492,30.106,350.097,0.441,1.147,0.937
