Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
fMet,C6 H11 N O3 S,6526.879148,13444851.59,15287863.12,18576591.12,28037242.24,22688841.69,22568029.95,16879.36365,87631.26667,16499908.59,24648590.6,19906.01445,8144.806212,7630.632363,14366357.36,22628435.82,20574249.59,23306916.68,52255.31516,19906.01445,8144.806212,7630.632363,2344.333,3692.557,3357.35,3803.273,8.527,3.248,1.329,1.245
,C19 H38 N2 O3,94162.6745,3719602.828,5842410.209,8600257.8,12968616.44,10048638.77,9861654.092,7929188.241,6401522.415,15308015.42,10732034.85,3807412.423,2819409.774,2616068.098,4781006.518,9955146.433,13020025.14,10784437.12,7165355.328,3807412.423,2819409.774,2616068.098,49.292,102.636,134.235,111.186,73.874,39.254,29.068,26.971
Victoria Pure Blue BO,C33 H39 N3,7304.4058,7479.465095,7745.786905,2898932.1,10940500.91,7477.866564,7428.818584,15379.05392,26503.52946,15358203.35,945402.6568,150455.4583,89891.27693,20655.26099,7612.626,7453.342574,8151803.006,6919716.503,20941.29169,150455.4583,89891.27693,20655.26099,1.064,1.042,1139.461,967.239,2.927,21.031,12.565,2.887
,C5 H10 N5 P3 S2,17275.18015,114513.6818,103513.2457,7860985.554,15442756.66,3353347.792,3187650.747,1390482.404,5689328.543,5036513.16,5341912.312,3502079.884,8371370.056,6376344.611,109013.4637,3270499.27,5189212.736,11651871.11,3539905.473,3502079.884,8371370.056,6376344.611,6.716,201.487,319.694,717.842,218.085,215.754,515.739,392.831
,C6 H5 N4 O15 P3 S2,17663.79244,91300.37888,80100.09903,11950474.37,16547426.73,3936633.601,3345762.707,2302776.675,3355582.452,8971227.842,9631647.731,11866449.72,15788194.59,14067794.88,85700.23895,3641198.154,9301437.786,14248950.55,2829179.564,11866449.72,15788194.59,14067794.88,5.028,213.635,545.73,836.008,165.992,696.223,926.318,825.38
"2-(3-Chloro-2-fluorophenyl)-2,3-dihydroisothiazol-3-one",C9 H5 Cl F N O S,18654.07922,108789.13,98338.60689,14002250,24490861.75,5811006.426,4431403.31,3178664.624,8008245.413,8914215.736,9198214.68,10063836.07,15854299.7,4050951.098,103563.8685,5121204.868,9056215.208,19246555.87,5593455.018,10063836.07,15854299.7,4050951.098,4.616,228.282,403.688,857.931,249.333,448.604,706.718,180.574
"2,5-Diketopiperazine",C4 H6 N2 O2,57646.07152,76234.26879,55556.05351,41316.06052,48743.97741,47289.64481,60450.6776,19832400.34,131954.0419,67365.19297,53922.13852,71057.73878,68525.2405,73732.74,65895.16115,53870.1612,60643.66574,45030.01896,9982177.19,71057.73878,68525.2405,73732.74,1.031,0.843,0.949,0.704,156.136,1.111,1.072,1.153
,C9 H Cl O13 P2 S3,15697.63854,1199517.011,1250634.322,723791.9872,607614.2037,14439376.19,16035613.35,96109.65562,88160.79245,4209225.364,4724423.105,768505.753,286612.5048,84526.29293,1225075.667,15237494.77,4466824.235,665703.0954,92135.22403,768505.753,286612.5048,84526.29293,80.88,1005.984,294.901,43.95,6.083,50.737,18.922,5.58
,C6 H12 N P S,7094.301888,51864.28827,46882.09066,1175394.586,1848853.064,377805.7677,315106.28,1466434.666,1838825.585,628367.5262,877471.1449,6883592.641,14752695.55,3487883.592,49373.18947,346456.0238,752919.3356,1512123.825,1652630.125,6883592.641,14752695.55,3487883.592,6.716,47.127,102.417,205.688,224.801,936.349,2006.752,474.443
,C12 H12 N6 O5 P2,10100.77976,71754.15522,64861.29324,9056326.175,3123396.267,847305.0265,751097.7369,194460.4686,393953.0228,2866081.61,2850038.185,26872474.71,19949918.72,1318829.732,68307.72423,799201.3817,2858059.898,6089861.221,294206.7457,26872474.71,19949918.72,1318829.732,6.788,79.423,284.029,605.199,29.238,2670.538,1982.587,131.063
