max_growth,k_val,mets,min,max
0.902,0.019781247334582485,fum,7.339320515926598e-06,7.339320515670143e-06
0.902,0.019781247334582485,succ,1.0000000000000004e-06,1.0000000040371445e-06
0.902,0.019781247334582485,pran,1.0000000000000004e-06,9.99999999545857e-07
0.902,0.019781247334582485,pphn,1.0000000000000004e-06,9.999999995749343e-07
0.902,0.019781247334582485,3psme,1.0000000000000004e-06,9.999999995716143e-07
0.902,0.019781247334582485,2cpr5p,1.0000000000000004e-06,9.99999999553975e-07
0.902,0.019781247334582485,3ig3p,1.0000000000000004e-06,9.999999995587055e-07
0.902,0.019781247334582485,4mop,1.0000000000000004e-06,9.999999995568687e-07
0.902,0.019781247334582485,leu__L,1.0000000000000004e-06,1.0000000016847985e-06
0.902,0.019781247334582485,dmpp,1.0000000000000004e-06,9.999999995403823e-07
0.902,0.019781247334582485,ipdp,1.0000000000000004e-06,9.999999995589488e-07
0.902,0.019781247334582485,grdp,1.0000000000000004e-06,9.999999995465356e-07
0.902,0.019781247334582485,frdp,1.0000000000000004e-06,9.999999995556412e-07
0.902,0.019781247334582485,hmbil,1.0000000000000004e-06,9.999999995547406e-07
0.902,0.019781247334582485,uppg3,1.0000000000000004e-06,1.0001000113277794e-06
0.902,0.019781247334582485,ckdo,1.0000000000000004e-06,9.999999995539609e-07
0.902,0.019781247334582485,lipidA,1.0000000000000004e-06,9.999999995556359e-07
0.902,0.019781247334582485,kdolipid4,1.0000000000000004e-06,9.999999995513603e-07
0.902,0.019781247334582485,udcpdp,1.0000000000000004e-06,9.999999995328115e-07
0.902,0.019781247334582485,u23ga,1.0000000000000004e-06,9.99999999539027e-07
0.902,0.019781247334582485,lipidX,1.0000000000000004e-06,9.999999995609277e-07
0.902,0.019781247334582485,mthgxl,1.0000000000000004e-06,9.99999999557105e-07
0.902,0.019781247334582485,lipidAds,1.0000000000000004e-06,1.0001000091622889e-06
0.902,0.019781247334582485,2mahmp,1.0000000000000004e-06,9.999999995569664e-07
0.902,0.019781247334582485,4mpetz,1.0000000000000004e-06,9.999999995600839e-07
0.902,0.019781247334582485,thmmp,1.0000000000000004e-06,9.999999995604392e-07
0.902,0.019781247334582485,2ddg6p,1.0000000000000004e-06,9.99999999552641e-07
0.902,0.019781247334582485,g3p,0.0003165428235501061,0.0003165428235468757
0.902,0.019781247334582485,dgtp,1.0000000000000004e-06,9.99999999562418e-07
0.902,0.019781247334582485,dgmp,1.0000000000000004e-06,9.999999995694152e-07
0.902,0.019781247334582485,uri,1.0000000000000004e-06,9.99999999557471e-07
0.902,0.019781247334582485,6pgl,1.0000000000000004e-06,9.999999995651555e-07
0.902,0.019781247334582485,6pgc,1.2393759613461907e-06,1.2449555371272344e-06
0.902,0.019781247334582485,dgsn,1.0000000000000004e-06,9.999999995694152e-07
0.902,0.019781247334582485,pppi,1.0000000000000004e-06,1.0001000090538242e-06
0.902,0.019781247334582485,gsn,1.0000000000000004e-06,1.0001000067185643e-06
0.902,0.019781247334582485,3dhq,1.0000000000000004e-06,9.999999995654005e-07
0.902,0.019781247334582485,3dhsk,1.0000000000000004e-06,9.999999995553642e-07
0.902,0.019781247334582485,3c2hmp,1.0000000000000023e-06,9.999999999517813e-07
0.902,0.019781247334582485,3c4mop,1.0000000000000004e-06,9.999999996909943e-07
0.902,0.019781247334582485,gam6p,3.5391482721874225e-06,3.5391482718445723e-06
0.902,0.019781247334582485,trdrd,1.0000000000000004e-06,9.99999999543871e-07
0.902,0.019781247334582485,dadp,1.0000000000000004e-06,9.99999999565285e-07
0.902,0.019781247334582485,trdoc,1.0000000000000004e-06,9.99999999562553e-07
0.902,0.019781247334582485,dcdp,1.0000000000000004e-06,9.999999995467168e-07
0.902,0.019781247334582485,dudp,1.0000000000000004e-06,9.999999995622796e-07
0.902,0.019781247334582485,acald,1.0000000000000004e-06,9.999999995667612e-07
0.902,0.019781247334582485,dump,1.0000000000000004e-06,9.999999995666475e-07
0.902,0.019781247334582485,mlthf,1.5410160479945786e-05,1.5481138594215466e-05
0.902,0.019781247334582485,dhf,1.0000000000000004e-06,9.999999995492694e-07
0.902,0.019781247334582485,dtmp,1.0000000000000004e-06,9.999999995464468e-07
0.902,0.019781247334582485,thymd,1.0000000000000004e-06,9.99999999562553e-07
0.902,0.019781247334582485,4ppcys,1.0000000000000004e-06,9.99999999560162e-07
0.902,0.019781247334582485,pan4p,1.0000000000000004e-06,9.999999995377728e-07
0.902,0.019781247334582485,10fthf,7.152323185024967e-06,7.1523231811155635e-06
0.902,0.019781247334582485,thf,1.0000000000000004e-06,9.999999999819368e-07
0.902,0.019781247334582485,23dhmb,1.0000000000000004e-06,1.0001000113262268e-06
0.902,0.019781247334582485,3mob,2.567147948802671e-06,2.5671479403338913e-06
0.902,0.019781247334582485,ins,1.0000000000000004e-06,9.999999995620591e-07
0.902,0.019781247334582485,4abut,1.0000000000000004e-06,9.999999995666475e-07
0.902,0.019781247334582485,sucsal,1.0000000000000004e-06,9.999999995610361e-07
0.902,0.019781247334582485,fad,2.478995284928437e-06,2.4789952844200573e-06
0.902,0.019781247334582485,pydxn,1.0000000000000004e-06,9.99999999565509e-07
0.902,0.019781247334582485,pdx5p,1.0000000000000004e-06,9.999999995706853e-07
0.902,0.019781247334582485,h2o2,1.0000000000000004e-06,9.999999995588476e-07
0.902,0.019781247334582485,asp__L,1.5409213178186188e-05,1.5478584281658137e-05
0.902,0.019781247334582485,nmn,1.0000000000000004e-06,9.999999995659157e-07
0.902,0.019781247334582485,thr__L,1.0000000000000004e-06,9.99999999562553e-07
0.902,0.019781247334582485,2aobut,1.0000000000000004e-06,9.999999995719252e-07
0.902,0.019781247334582485,man,1.0000000000000004e-06,9.999999995565437e-07
0.902,0.019781247334582485,man6p,1.0000000000000004e-06,9.999999995565437e-07
