k_val,mets,ln_met,exp_met
0.146,x_r1p_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_r15bp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pmtcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hdca_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppgpp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_35cgmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ggptrc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_itp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sarcs_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_xtp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dimp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_all__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_all6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aso4_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aso3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gthox_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ragund_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gfgaragund_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_o16aund_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_anhgm4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_anhgm3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mmet_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acglu_c,6.103340929601215e-05,5.912361102696921e-05
0.146,x_acg5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lald__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_12ppd__R_c,1.0000000000000004e-06,1.0000000000000095e-06
0.146,x_glcn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_rml_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_rml1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pydam_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_15dap_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hisp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sl2a6o_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_acon_T_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aconm_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_seln_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_selnp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_Nmtrp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dgdp_c,1.0000000000000004e-06,1.0000000000000006e-06
0.146,x_skm_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_skm5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dmbzid_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_athr__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_5mtr_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pant__R_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_galct__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udpLa4o_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mmcoa__S_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udpLa4n_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_udpLa4fn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_uLa4fn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2mcacn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acetol_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hhlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_phphhlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_kphphhlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gagicolipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_phhlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hphhlipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3sala_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_so2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dad_5_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ppp9_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sbzcoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_cys__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_idp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_g3pg_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpe180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ocdca_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpe160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pe160_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_galctn__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_malthp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2agpg180_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dscl_c,1.0000000000000004e-06,9.999999999999976e-07
